#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
18	34930007	34934007	ENSMUSG00000024360.7	.	-	34930007	34934007	0	1	4000	34930004	cluster_1
11	5097266	5101266	ENSMUSG00000009079.16	.	-	5097266	5101266	0	1	4000	5097261	cluster_1
7	3643268	3647268	ENSMUSG00000035632.16	.	+	3643268	3647268	0	1	4000	3643265	cluster_1
14	67070444	67074444	ENSMUSG00000022052.9	.	-	67070444	67074444	0	1	4000	67070438	cluster_1
19	21270278	21274278	ENSMUSG00000024750.10	.	+	21270278	21274278	0	1	4000	21270276	cluster_1
10	36972544	36976544	ENSMUSG00000019777.16	.	+	36972544	36976544	0	1	4000	36972541	cluster_1
17	35162897	35166897	ENSMUSG00000024393.14	.	-	35162897	35166897	0	1	4000	35162894	cluster_1
8	128683654	128687654	ENSMUSG00000025809.15	.	+	128683654	128687654	0	1	4000	128683653	cluster_1
8	41237752	41241752	ENSMUSG00000031592.10	.	+	41237752	41241752	0	1	4000	41237748	cluster_1
X	13278970	13282970	ENSMUSG00000000787.12	.	+	13278970	13282970	0	1	4000	13278969	cluster_1
12	27340574	27344574	ENSMUSG00000063632.6	.	-	27340574	27344574	0	1	4000	27340572	cluster_1
6	87849106	87853106	ENSMUSG00000030057.15	.	-	87849106	87853106	0	1	4000	87849098	cluster_1
7	90440729	90444729	ENSMUSG00000051451.6	.	+	90440729	90444729	0	1	4000	90440720	cluster_1
7	28960340	28964340	ENSMUSG00000054808.15	.	-	28960340	28964340	0	1	4000	28960338	cluster_1
4	155489361	155493361	ENSMUSG00000029064.15	.	+	155489361	155493361	0	1	4000	155489360	cluster_1
12	21415637	21419637	ENSMUSG00000076432.13	.	-	21415637	21419637	0	1	4000	21415635	cluster_1
11	52229995	52233995	ENSMUSG00000036309.14	.	+	52229995	52233995	0	1	4000	52229990	cluster_1
6	124710178	124714178	ENSMUSG00000004268.11	.	-	124710178	124714178	0	1	4000	124710177	cluster_1
5	105874565	105878565	ENSMUSG00000029290.12	.	+	105874565	105878565	0	1	4000	105874564	cluster_1
14	105175327	105179327	ENSMUSG00000022119.15	.	-	105175327	105179327	0	1	4000	105175326	cluster_1
15	51863523	51867523	ENSMUSG00000022312.11	.	-	51863523	51867523	0	1	4000	51863518	cluster_1
1	30947770	30951770	ENSMUSG00000026064.15	.	-	30947770	30951770	0	1	4000	30947767	cluster_1
19	60788693	60792693	ENSMUSG00000024991.7	.	-	60788693	60792693	0	1	4000	60788687	cluster_1
11	98201059	98205059	ENSMUSG00000003119.14	.	+	98201059	98205059	0	1	4000	98201050	cluster_1
1	65184683	65188683	ENSMUSG00000025949.16	.	+	65184683	65188683	0	1	4000	65184677	cluster_1
2	168205112	168209112	ENSMUSG00000051149.15	.	-	168205112	168209112	0	1	4000	168205111	cluster_1
8	72419460	72423460	ENSMUSG00000006276.10	.	-	72419460	72423460	0	1	4000	72419453	cluster_1
17	65611555	65615555	ENSMUSG00000024091.8	.	-	65611555	65615555	0	1	4000	65611549	cluster_1
3	152208422	152212422	ENSMUSG00000028034.15	.	+	152208422	152212422	0	1	4000	152208421	cluster_1
4	130661321	130665321	ENSMUSG00000028580.15	.	+	130661321	130665321	0	1	4000	130661320	cluster_1
5	92081719	92085719	ENSMUSG00000029405.16	.	-	92081719	92085719	0	1	4000	92081710	cluster_1
13	96668936	96672936	ENSMUSG00000021670.14	.	-	96668936	96672936	0	1	4000	96668927	cluster_1
2	152224839	152228839	ENSMUSG00000074698.10	.	+	152224839	152228839	0	1	4000	152224838	cluster_1
7	28336746	28340746	ENSMUSG00000003435.9	.	-	28336746	28340746	0	1	4000	28336744	cluster_1
5	100037664	100041664	ENSMUSG00000029328.15	.	-	100037664	100041664	0	1	4000	100037663	cluster_1
9	21365871	21369871	ENSMUSG00000032178.14	.	+	21365871	21369871	0	1	4000	21365869	cluster_1
3	34017943	34021943	ENSMUSG00000027680.15	.	+	34017943	34021943	0	1	4000	34017940	cluster_1
1	171343670	171347670	ENSMUSG00000006412.10	.	+	171343670	171347670	0	1	4000	171343669	cluster_1
2	109915647	109919647	ENSMUSG00000050199.13	.	+	109915647	109919647	0	1	4000	109915646	cluster_1
11	75730869	75734869	ENSMUSG00000020849.13	.	+	75730869	75734869	0	1	4000	75730862	cluster_1
2	144268906	144272906	ENSMUSG00000027423.15	.	-	144268906	144272906	0	1	4000	144268905	cluster_1
14	47296266	47300266	ENSMUSG00000021840.17	.	+	47296266	47300266	0	1	4000	47296262	cluster_1
1	36066400	36070400	ENSMUSG00000045216.7	.	+	36066400	36070400	0	1	4000	36066397	cluster_1
11	115512387	115516387	ENSMUSG00000020737.12	.	-	115512387	115516387	0	1	4000	115512386	cluster_1
1	152900646	152904646	ENSMUSG00000042772.15	.	-	152900646	152904646	0	1	4000	152900645	cluster_1
15	82045598	82049598	ENSMUSG00000063480.8	.	-	82045598	82049598	0	1	4000	82045590	cluster_1
18	44378502	44382502	ENSMUSG00000024472.9	.	+	44378502	44382502	0	1	4000	44378498	cluster_1
5	99976938	99980938	ENSMUSG00000000568.15	.	-	99976938	99980938	0	1	4000	99976929	cluster_1
13	111488111	111492111	ENSMUSG00000032745.18	.	-	111488111	111492111	0	1	4000	111488110	cluster_1
6	6576663	6580663	ENSMUSG00000042541.10	.	-	6576663	6580663	0	1	4000	6576657	cluster_1
10	57530530	57534530	ENSMUSG00000019877.10	.	-	57530530	57534530	0	1	4000	57530525	cluster_1
7	45393742	45397742	ENSMUSG00000063511.11	.	-	45393742	45397742	0	1	4000	45393738	cluster_1
7	102208176	102212176	ENSMUSG00000063550.8	.	-	102208176	102212176	0	1	4000	102208175	cluster_1
12	84994321	84998321	ENSMUSG00000021244.15	.	+	84994321	84998321	0	1	4000	84994313	cluster_1
14	34671928	34675928	ENSMUSG00000041408.18	.	+	34671928	34675928	0	1	4000	34671925	cluster_1
13	97239105	97243105	ENSMUSG00000041773.8	.	+	97239105	97243105	0	1	4000	97239096	cluster_1
11	58007064	58011064	ENSMUSG00000037331.15	.	+	58007064	58011064	0	1	4000	58007059	cluster_1
5	122156278	122160278	ENSMUSG00000004455.16	.	+	122156278	122160278	0	1	4000	122156277	cluster_1
15	59313077	59317077	ENSMUSG00000022351.14	.	+	59313077	59317077	0	1	4000	59313072	cluster_1
2	154789402	154793402	ENSMUSG00000027596.10	.	+	154789402	154793402	0	1	4000	154789401	cluster_1
7	90128213	90132213	ENSMUSG00000039361.11	.	+	90128213	90132213	0	1	4000	90128204	cluster_1
13	3536063	3540063	ENSMUSG00000021218.10	.	+	3536063	3540063	0	1	4000	3536060	cluster_1
3	87904321	87908321	ENSMUSG00000004897.16	.	+	87904321	87908321	0	1	4000	87904313	cluster_1
5	86802221	86806221	ENSMUSG00000035851.14	.	+	86802221	86806221	0	1	4000	86802213	cluster_1
1	78656038	78660038	ENSMUSG00000079470.8	.	+	78656038	78660038	0	1	4000	78656031	cluster_1
12	70972621	70976621	ENSMUSG00000060073.9	.	+	70972621	70976621	0	1	4000	70972614	cluster_1
2	24917614	24921614	ENSMUSG00000036893.17	.	-	24917614	24921614	0	1	4000	24917612	cluster_1
15	51989747	51993747	ENSMUSG00000022314.10	.	-	51989747	51993747	0	1	4000	51989742	cluster_1
2	90938382	90942382	ENSMUSG00000005506.16	.	+	90938382	90942382	0	1	4000	90938373	cluster_1
10	80824656	80828656	ENSMUSG00000035242.15	.	+	80824656	80828656	0	1	4000	80824648	cluster_1
15	34080694	34084694	ENSMUSG00000022255.16	.	+	34080694	34084694	0	1	4000	34080691	cluster_1
17	15702967	15706967	ENSMUSG00000023852.14	.	+	15702967	15706967	0	1	4000	15702966	cluster_1
11	94319988	94323988	ENSMUSG00000020863.15	.	-	94319988	94323988	0	1	4000	94319979	cluster_1
15	102468539	102472539	ENSMUSG00000056851.14	.	+	102468539	102472539	0	1	4000	102468538	cluster_1
11	107477484	107481484	ENSMUSG00000020720.13	.	+	107477484	107481484	0	1	4000	107477483	cluster_1
6	113075365	113079365	ENSMUSG00000034269.12	.	+	113075365	113079365	0	1	4000	113075364	cluster_1
18	56705813	56709813	ENSMUSG00000024590.8	.	+	56705813	56709813	0	1	4000	56705808	cluster_1
13	47104201	47108201	ENSMUSG00000021377.15	.	-	47104201	47108201	0	1	4000	47104197	cluster_1
5	34334289	34338289	ENSMUSG00000029110.13	.	+	34334289	34338289	0	1	4000	34334286	cluster_1
14	56776316	56780316	ENSMUSG00000021938.12	.	-	56776316	56780316	0	1	4000	56776311	cluster_1
7	110016274	110020274	ENSMUSG00000066232.4	.	+	110016274	110020274	0	1	4000	110016273	cluster_1
18	35560146	35564146	ENSMUSG00000037236.14	.	+	35560146	35564146	0	1	4000	35560143	cluster_1
11	59226270	59230270	ENSMUSG00000048076.14	.	-	59226270	59230270	0	1	4000	59226265	cluster_1
13	119460768	119464768	ENSMUSG00000062822.8	.	+	119460768	119464768	0	1	4000	119460767	cluster_1
17	57029507	57033507	ENSMUSG00000007670.9	.	-	57029507	57033507	0	1	4000	57029502	cluster_1
10	128033575	128037575	ENSMUSG00000061315.14	.	+	128033575	128037575	0	1	4000	128033574	cluster_1
13	14037638	14041638	ENSMUSG00000039233.12	.	-	14037638	14041638	0	1	4000	14037637	cluster_1
10	111471223	111475223	ENSMUSG00000058799.16	.	+	111471223	111475223	0	1	4000	111471222	cluster_1
10	57484385	57488385	ENSMUSG00000019878.8	.	+	57484385	57488385	0	1	4000	57484380	cluster_1
1	134558171	134562171	ENSMUSG00000042207.17	.	+	134558171	134562171	0	1	4000	134558170	cluster_1
X	152231020	152235020	ENSMUSG00000025332.14	.	+	152231020	152235020	0	1	4000	152231019	cluster_1
11	87107234	87111234	ENSMUSG00000020492.11	.	+	87107234	87111234	0	1	4000	87107226	cluster_1
1	34841065	34845065	ENSMUSG00000037503.12	.	-	34841065	34845065	0	1	4000	34841062	cluster_1
3	27151878	27155878	ENSMUSG00000027699.19	.	-	27151878	27155878	0	1	4000	27151876	cluster_1
18	31802057	31806057	ENSMUSG00000024400.15	.	+	31802057	31806057	0	1	4000	31802054	cluster_1
8	69772886	69776886	ENSMUSG00000092544.8	.	-	69772886	69776886	0	1	4000	69772880	cluster_1
1	160210875	160214875	ENSMUSG00000014226.10	.	-	160210875	160214875	0	1	4000	160210874	cluster_1
16	44137830	44141830	ENSMUSG00000022698.17	.	+	44137830	44141830	0	1	4000	44137826	cluster_1
17	71614215	71618215	ENSMUSG00000041057.9	.	+	71614215	71618215	0	1	4000	71614208	cluster_1
13	24799657	24803657	ENSMUSG00000019132.11	.	+	24799657	24803657	0	1	4000	24799655	cluster_1
11	83471086	83475086	ENSMUSG00000020680.15	.	+	83471086	83475086	0	1	4000	83471078	cluster_1
18	60772510	60776510	ENSMUSG00000024608.10	.	+	60772510	60776510	0	1	4000	60772504	cluster_1
2	154890935	154894935	ENSMUSG00000074656.12	.	-	154890935	154894935	0	1	4000	154890934	cluster_1
3	108443209	108447209	ENSMUSG00000068739.13	.	-	108443209	108447209	0	1	4000	108443208	cluster_1
7	30167750	30171750	ENSMUSG00000037029.8	.	-	30167750	30171750	0	1	4000	30167747	cluster_1
11	85233130	85237130	ENSMUSG00000018481.9	.	-	85233130	85237130	0	1	4000	85233122	cluster_1
9	44602892	44606892	ENSMUSG00000032097.10	.	+	44602892	44606892	0	1	4000	44602888	cluster_1
5	93204495	93208495	ENSMUSG00000063015.12	.	-	93204495	93208495	0	1	4000	93204486	cluster_1
3	157945239	157949239	ENSMUSG00000039988.14	.	+	157945239	157949239	0	1	4000	157945238	cluster_1
18	80149482	80153482	ENSMUSG00000053950.10	.	-	80149482	80153482	0	1	4000	80149474	cluster_1
10	56375330	56379330	ENSMUSG00000050953.10	.	+	56375330	56379330	0	1	4000	56375325	cluster_1
4	116649680	116653680	ENSMUSG00000028692.14	.	-	116649680	116653680	0	1	4000	116649679	cluster_1
12	51346061	51350061	ENSMUSG00000035293.13	.	+	51346061	51350061	0	1	4000	51346056	cluster_1
X	106185100	106189100	ENSMUSG00000062070.12	.	+	106185100	106189100	0	1	4000	106185099	cluster_1
18	73701780	73705780	ENSMUSG00000024515.13	.	-	73701780	73705780	0	1	4000	73701773	cluster_1
15	43280719	43284719	ENSMUSG00000022336.3	.	-	43280719	43284719	0	1	4000	43280715	cluster_1
8	94035031	94039031	ENSMUSG00000031754.10	.	-	94035031	94039031	0	1	4000	94035022	cluster_1
1	106794728	106798728	ENSMUSG00000009907.17	.	-	106794728	106798728	0	1	4000	106794727	cluster_1
16	94568010	94572010	ENSMUSG00000022897.15	.	+	94568010	94572010	0	1	4000	94568001	cluster_1
1	93476993	93480993	ENSMUSG00000116048.1	.	+	93476993	93480993	0	1	4000	93476984	cluster_1
4	129740303	129744303	ENSMUSG00000028790.13	.	-	129740303	129744303	0	1	4000	129740302	cluster_1
2	10078510	10082510	ENSMUSG00000025781.14	.	-	10078510	10082510	0	1	4000	10078509	cluster_1
4	123014597	123018597	ENSMUSG00000028653.16	.	+	123014597	123018597	0	1	4000	123014596	cluster_1
11	49710723	49714723	ENSMUSG00000020362.13	.	-	49710723	49714723	0	1	4000	49710719	cluster_1
12	105782694	105786694	ENSMUSG00000021111.15	.	+	105782694	105786694	0	1	4000	105782693	cluster_1
10	80753206	80757206	ENSMUSG00000061589.14	.	+	80753206	80757206	0	1	4000	80753198	cluster_1
4	155941831	155945831	ENSMUSG00000023286.16	.	+	155941831	155945831	0	1	4000	155941830	cluster_1
17	42874424	42878424	ENSMUSG00000061665.6	.	-	42874424	42878424	0	1	4000	42874420	cluster_1
X	101638060	101642060	ENSMUSG00000034160.13	.	+	101638060	101642060	0	1	4000	101638059	cluster_1
X	77509013	77513013	ENSMUSG00000025246.13	.	+	77509013	77513013	0	1	4000	77509006	cluster_1
4	155810489	155814489	ENSMUSG00000029068.16	.	+	155810489	155814489	0	1	4000	155810488	cluster_1
4	116073071	116077071	ENSMUSG00000063882.12	.	-	116073071	116077071	0	1	4000	116073070	cluster_1
2	32149082	32153082	ENSMUSG00000039262.16	.	+	32149082	32153082	0	1	4000	32149079	cluster_1
11	20199432	20203432	ENSMUSG00000020149.17	.	+	20199432	20203432	0	1	4000	20199430	cluster_1
1	93476964	93480964	ENSMUSG00000026276.20	.	+	93476964	93480964	0	1	4000	93476955	cluster_1
12	112827423	112831423	ENSMUSG00000047832.9	.	-	112827423	112831423	0	1	4000	112827422	cluster_1
18	24528204	24532204	ENSMUSG00000040446.3	.	-	24528204	24532204	0	1	4000	24528202	cluster_1
5	146229230	146233230	ENSMUSG00000029635.15	.	+	146229230	146233230	0	1	4000	146229229	cluster_1
8	8688521	8692521	ENSMUSG00000040459.11	.	-	8688521	8692521	0	1	4000	8688513	cluster_1
10	79852427	79856427	ENSMUSG00000006498.16	.	+	79852427	79856427	0	1	4000	79852420	cluster_1
5	115325177	115329177	ENSMUSG00000029538.14	.	+	115325177	115329177	0	1	4000	115325176	cluster_1
13	48966017	48970017	ENSMUSG00000038014.7	.	-	48966017	48970017	0	1	4000	48966013	cluster_1
1	178335797	178339797	ENSMUSG00000039630.10	.	-	178335797	178339797	0	1	4000	178335796	cluster_1
14	70764628	70768628	ENSMUSG00000022100.14	.	-	70764628	70768628	0	1	4000	70764621	cluster_1
9	44765845	44769845	ENSMUSG00000032096.16	.	-	44765845	44769845	0	1	4000	44765841	cluster_1
12	65034333	65038333	ENSMUSG00000035597.19	.	+	65034333	65038333	0	1	4000	65034327	cluster_1
11	30769726	30773726	ENSMUSG00000040850.17	.	+	30769726	30773726	0	1	4000	30769723	cluster_1
3	88683803	88687803	ENSMUSG00000028060.14	.	+	88683803	88687803	0	1	4000	88683795	cluster_1
7	44867788	44871788	ENSMUSG00000038502.17	.	-	44867788	44871788	0	1	4000	44867784	cluster_1
9	107633367	107637367	ENSMUSG00000032562.13	.	-	107633367	107637367	0	1	4000	107633366	cluster_1
4	12087439	12091439	ENSMUSG00000052137.11	.	+	12087439	12091439	0	1	4000	12087438	cluster_1
5	110446503	110450503	ENSMUSG00000043323.16	.	-	110446503	110450503	0	1	4000	110446502	cluster_1
6	115674635	115678635	ENSMUSG00000000441.17	.	-	115674635	115678635	0	1	4000	115674634	cluster_1
2	61709694	61713694	ENSMUSG00000026914.15	.	+	61709694	61713694	0	1	4000	61709688	cluster_1
16	11252325	11256325	ENSMUSG00000062203.15	.	-	11252325	11256325	0	1	4000	11252324	cluster_1
5	140417328	140421328	ENSMUSG00000056076.13	.	+	140417328	140421328	0	1	4000	140417327	cluster_1
7	5060143	5064143	ENSMUSG00000030435.16	.	+	5060143	5064143	0	1	4000	5060138	cluster_1
6	56795813	56799813	ENSMUSG00000059486.11	.	-	56795813	56799813	0	1	4000	56795808	cluster_1
12	101081702	101085702	ENSMUSG00000041846.15	.	-	101081702	101085702	0	1	4000	101081701	cluster_1
11	96787127	96791127	ENSMUSG00000018666.13	.	+	96787127	96791127	0	1	4000	96787118	cluster_1
8	4236865	4240865	ENSMUSG00000109061.1	.	+	4236865	4240865	0	1	4000	4236861	cluster_1
12	51689897	51693897	ENSMUSG00000020954.16	.	-	51689897	51693897	0	1	4000	51689892	cluster_1
7	44814387	44818387	ENSMUSG00000074141.13	.	+	44814387	44818387	0	1	4000	44814383	cluster_1
16	14161275	14165275	ENSMUSG00000022678.16	.	+	14161275	14165275	0	1	4000	14161274	cluster_1
5	134637490	134641490	ENSMUSG00000040731.13	.	-	134637490	134641490	0	1	4000	134637489	cluster_1
X	73964357	73968357	ENSMUSG00000031386.14	.	-	73964357	73968357	0	1	4000	73964350	cluster_1
8	3619316	3623316	ENSMUSG00000019470.12	.	-	3619316	3623316	0	1	4000	3619313	cluster_1
12	3307969	3311969	ENSMUSG00000020671.9	.	-	3307969	3311969	0	1	4000	3307966	cluster_1
6	51467894	51471894	ENSMUSG00000004980.16	.	-	51467894	51471894	0	1	4000	51467889	cluster_1
10	80620838	80624838	ENSMUSG00000003345.16	.	+	80620838	80624838	0	1	4000	80620830	cluster_1
X	18160575	18164575	ENSMUSG00000037369.17	.	+	18160575	18164575	0	1	4000	18160574	cluster_1
9	122949046	122953046	ENSMUSG00000036768.6	.	+	122949046	122953046	0	1	4000	122949045	cluster_1
7	132929142	132933142	ENSMUSG00000030967.15	.	+	132929142	132933142	0	1	4000	132929141	cluster_1
3	108909727	108913727	ENSMUSG00000027881.14	.	-	108909727	108913727	0	1	4000	108909726	cluster_1
8	79637618	79641618	ENSMUSG00000036990.13	.	+	79637618	79641618	0	1	4000	79637611	cluster_1
2	84648765	84652765	ENSMUSG00000034101.14	.	-	84648765	84652765	0	1	4000	84648757	cluster_1
3	90291178	90295178	ENSMUSG00000042390.9	.	+	90291178	90295178	0	1	4000	90291169	cluster_1
9	110530597	110534597	ENSMUSG00000044791.16	.	+	110530597	110534597	0	1	4000	110530596	cluster_1
16	90282503	90286503	ENSMUSG00000022983.16	.	-	90282503	90286503	0	1	4000	90282494	cluster_1
11	86755565	86759565	ENSMUSG00000047126.17	.	-	86755565	86759565	0	1	4000	86755557	cluster_1
2	143913320	143917320	ENSMUSG00000015932.8	.	+	143913320	143917320	0	1	4000	143913319	cluster_1
2	104814760	104818760	ENSMUSG00000074994.5	.	-	104814760	104818760	0	1	4000	104814759	cluster_1
8	72546270	72550270	ENSMUSG00000045248.6	.	-	72546270	72550270	0	1	4000	72546263	cluster_1
5	28315121	28319121	ENSMUSG00000048271.14	.	+	28315121	28319121	0	1	4000	28315119	cluster_1
2	23154369	23158369	ENSMUSG00000026775.9	.	+	23154369	23158369	0	1	4000	23154367	cluster_1
1	16655042	16659042	ENSMUSG00000079658.9	.	-	16655042	16659042	0	1	4000	16655041	cluster_1
2	103795649	103799649	ENSMUSG00000027184.14	.	-	103795649	103799649	0	1	4000	103795648	cluster_1
4	137355720	137359720	ENSMUSG00000006699.17	.	-	137355720	137359720	0	1	4000	137355719	cluster_1
18	12126850	12130850	ENSMUSG00000024404.6	.	+	12126850	12130850	0	1	4000	12126849	cluster_1
15	73182935	73186935	ENSMUSG00000036698.11	.	-	73182935	73186935	0	1	4000	73182928	cluster_1
15	6706379	6710379	ENSMUSG00000050310.9	.	+	6706379	6710379	0	1	4000	6706373	cluster_1
10	20310469	20314469	ENSMUSG00000037608.16	.	+	20310469	20314469	0	1	4000	20310467	cluster_1
10	79702491	79706491	ENSMUSG00000023175.15	.	+	79702491	79706491	0	1	4000	79702484	cluster_1
8	105858580	105862580	ENSMUSG00000008450.8	.	+	105858580	105862580	0	1	4000	105858579	cluster_1
1	78655825	78659825	ENSMUSG00000032883.15	.	+	78655825	78659825	0	1	4000	78655818	cluster_1
17	83348931	83352931	ENSMUSG00000032624.15	.	+	83348931	83352931	0	1	4000	83348923	cluster_1
13	98315006	98319006	ENSMUSG00000021660.14	.	-	98315006	98319006	0	1	4000	98314997	cluster_1
3	90050628	90054628	ENSMUSG00000042520.16	.	-	90050628	90054628	0	1	4000	90050619	cluster_1
13	106934958	106938958	ENSMUSG00000042590.16	.	-	106934958	106938958	0	1	4000	106934957	cluster_1
8	119556735	119560735	ENSMUSG00000031835.16	.	-	119556735	119560735	0	1	4000	119556734	cluster_1
7	118127662	118131662	ENSMUSG00000030654.9	.	-	118127662	118131662	0	1	4000	118127661	cluster_1
5	143526036	143530036	ENSMUSG00000001847.14	.	-	143526036	143530036	0	1	4000	143526035	cluster_1
16	16356959	16360959	ENSMUSG00000022789.15	.	-	16356959	16360959	0	1	4000	16356958	cluster_1
16	57119703	57123703	ENSMUSG00000022752.9	.	+	57119703	57123703	0	1	4000	57119698	cluster_1
1	125433727	125437727	ENSMUSG00000026341.16	.	-	125433727	125437727	0	1	4000	125433726	cluster_1
19	18711193	18715193	ENSMUSG00000047044.7	.	+	18711193	18715193	0	1	4000	18711192	cluster_1
